"R0000100","R0002300","R0365500","R0385200","R0530300","R0543950","R0587700","R0635500","R0682100"
809,2,6000,1,4000,1,14000,12000,1
810,2,18500,1,24000,1,20000,30000,1
811,2,3000,1,-5,-5,-5,-5,-5
812,2,-5,-5,-5,-5,-5,-5,-5
813,1,7000,1,20000,1,0,21000,1
814,1,4800,1,11000,1,24000,14500,1
815,1,3000,1,15000,1,-5,18725,1
816,1,7500,1,4000,1,23000,36000,1
817,1,15500,1,20500,1,25000,29000,1
818,1,10800,1,12000,1,15500,19000,1
819,1,16000,1,25000,3,25000,33000,1
820,1,18000,1,26000,1,35000,45000,1
821,1,12500,1,26000,1,33000,35900,1
822,1,10000,1,3000,3,2650,0,-5
823,1,-5,-5,-5,-5,-5,-5,-5
824,1,13000,1,16000,1,23000,25000,1
825,2,1000,3,-5,-5,-5,-5,-5
826,2,565,8,-5,-5,-5,-5,-5
827,1,13854,1,24000,1,29500,37000,1
828,1,500,1,3640,4,5000,1200,1
829,1,3000,1,-5,-5,-5,-5,-5
830,1,-5,-5,-5,-5,-5,-5,-5
831,1,-5,-5,-5,-5,-5,-5,-5
832,2,-5,-5,2000,3,2000,-5,1
833,2,7500,1,-5,-5,-5,-5,1
834,1,6000,1,3600,3,13000,22000,1
835,1,13000,1,12000,1,-5,-5,-5
836,1,5200,1,16000,1,25000,34000,1
837,1,900,8,300,8,2600,-5,-5
838,1,10000,1,30000,1,0,-4,1
839,1,-4,2,20000,1,20000,0,1
840,2,-5,-5,10000,1,5500,-5,-5
841,1,6300,1,16821,1,16000,23000,-5
842,1,2000,4,-1,1,-5,0,6
843,1,450,3,-5,-5,-5,-5,-5
844,1,12000,1,-5,-5,-5,-5,-5
845,1,6000,1,13000,1,-1,-5,-5
846,1,-5,-5,8000,1,10400,12000,1
847,1,-5,-5,15000,2,16600,22000,1
848,1,5900,1,0,1,-5,-5,-5
849,1,7800,1,1200,1,5000,-5,-5
850,1,7000,1,12045,1,15000,18000,1
851,1,10800,1,19000,1,-5,-5,-5
852,1,-5,-5,4000,1,-5,-5,-5
853,1,-5,-5,-5,-5,-5,-5,-5
854,1,-5,-5,-5,-5,-5,-5,-5
855,1,7850,1,-5,-5,-5,-5,1
856,1,-5,-5,-5,-5,-5,-5,-5
857,1,-5,-5,12000,1,14000,17500,1
858,2,8100,1,13000,1,17000,22000,1
859,1,1000,1,-1,1,-1,0,1
860,1,200,1,-5,-5,-5,-5,-5
861,1,-5,-5,-5,-5,-5,-5,-5
862,1,9500,1,10800,1,10000,25000,-5
863,1,10500,1,15000,1,18005,20000,1
864,1,-5,-5,6000,1,7000,-5,-5
865,1,6000,1,7000,1,14000,18500,1
866,1,650,4,0,1,0,0,1
867,1,-5,-5,6000,1,12300,14000,1
868,1,9600,1,-5,-5,-5,-5,-5
869,1,-5,-5,-5,-5,-5,-5,-5
870,1,8000,1,15500,1,15000,-1,1
871,1,-5,-5,13000,1,15000,19000,1
872,1,-5,-5,5000,1,12802,22000,1
873,1,0,1,0,1,0,0,1
874,1,-5,-5,-5,-5,-5,-5,-5
875,1,2000,4,12000,1,14300,16000,1
876,1,1400,4,8000,3,-5,-5,-5
877,1,-5,-5,-5,-5,-5,-5,-5
878,1,1600,4,12000,1,11000,15600,1
879,1,6500,1,12000,1,12500,16000,1
880,1,10000,1,21000,1,25000,30000,-5
881,1,9000,1,14000,1,17000,21200,1
882,1,8600,1,15000,1,22000,-1,1
883,1,2999,3,7000,1,11500,12000,1
884,1,5500,1,0,1,6500,11700,1
885,1,12000,1,20000,1,23000,24000,3
886,1,0,3,7500,1,12500,15000,1
887,1,5200,1,9500,1,12304,9834,1
888,1,6000,1,6000,1,7500,-1,1
889,1,2004,3,3100,1,6004,8200,1
890,1,0,1,0,1,0,0,1
891,1,1500,1,12000,1,14000,15000,2
892,1,4000,3,22800,1,29900,39000,1
893,1,-5,-5,8500,1,10000,0,1
894,1,-5,-5,6800,1,10006,300,4
895,1,3900,1,11000,1,15000,12000,1
896,1,800,1,-5,-5,-5,-5,-5
897,1,4000,1,9154,1,10400,11000,1
898,1,6000,1,-5,-5,-5,-5,-5
899,1,2600,1,15000,1,18000,24000,1
900,1,3120,1,9000,1,6000,24000,1
901,1,-5,-5,9500,1,12000,14000,1
902,1,7350,1,18000,1,18720,24000,1
903,1,3200,1,11659,1,13800,18662,1
904,1,-5,-5,8000,1,13500,14000,1
905,1,20000,1,20000,2,18000,29380,1
906,1,-5,-5,-5,-5,-5,-5,-5
907,1,-5,-5,-5,-5,-5,-5,-5
908,1,3300,1,13250,1,14300,10300,1
909,1,10000,1,12500,3,11000,19000,1
910,1,6500,1,4781,4,-4,13500,1
911,1,5000,1,7000,1,21600,26000,1
912,1,9900,1,1500,3,15000,28000,-5
913,1,9600,1,14700,1,20000,25000,3
914,1,6500,1,8500,1,10601,11000,8
915,1,8000,1,7500,1,14500,15000,1
916,1,7200,1,15000,1,-5,-5,-5
917,1,8550,1,12500,1,15000,16500,1
918,1,8500,1,0,8,0,0,1
919,1,8200,1,12000,1,13000,16500,1
920,1,-5,-5,500,4,10000,5000,3
921,1,4160,1,2885,3,5200,6500,1
922,1,450,1,-5,-5,-5,-5,-5
923,1,600,4,-5,-5,12000,18500,1
924,1,12000,1,15000,1,18000,26000,3
925,1,-5,-5,13300,1,16400,20400,1
926,1,485,1,-5,-5,-5,-5,-5
927,1,2340,1,16400,1,-5,-5,-5
928,1,10000,1,20000,1,25000,22000,1
929,1,1100,2,3000,3,0,0,1
930,1,-5,-5,-5,-5,1500,11000,1
931,1,1500,4,19000,1,23000,31000,1
932,1,10500,1,18000,1,25000,-5,-5
933,1,700,1,15000,1,18000,20000,1
934,1,-5,-5,-5,-5,-5,-5,-5
935,1,8400,1,12000,3,18000,27000,1
936,1,8700,1,10000,1,14000,17000,1
937,1,7200,1,-5,-5,-5,-5,-5
938,1,5500,1,24000,2,18000,10000,3
939,1,6000,1,6750,1,8500,6000,1
940,1,0,3,6000,1,20000,10000,1
941,1,7000,2,18000,1,31000,25000,1
942,1,-5,-5,1200,1,7000,600,3
943,1,4500,1,0,1,0,-1,1
944,1,600,4,11500,1,4000,19400,1
945,1,-5,-5,4500,1,16500,18000,1
946,1,-5,-5,200,1,0,0,1
947,1,3000,4,10000,1,14000,20000,1
948,1,1800,4,8600,1,10005,14000,1
949,1,17200,1,30000,1,31000,37000,1
950,1,11000,1,-5,-5,-5,-5,-5
951,1,9500,1,16000,2,20000,24000,1
952,1,0,8,-5,-5,-5,-5,-5
953,1,300,1,15000,1,0,50000,1
954,1,10000,1,17500,1,19100,30000,1
955,1,-5,-5,-5,-5,-5,-5,-5
956,1,7000,1,14000,1,16000,21500,1
957,1,14500,1,20000,1,3600,0,1
958,1,-4,1,5000,2,-5,-5,1
959,1,8000,1,0,1,0,0,1
960,1,-5,-5,-5,-5,-5,-5,-5
961,1,7000,2,8000,1,12355,14000,1
962,1,-5,-5,-5,-5,-5,-5,-5
963,1,13000,1,10000,1,8000,0,1
964,1,3500,6,0,4,12000,22000,-5
965,1,12500,1,18900,1,18500,26000,1
966,1,1000,1,0,3,6000,17000,3
967,1,10000,1,22000,1,27300,35000,1
968,1,16500,1,28000,1,34000,50000,1
969,1,8000,1,13000,1,-1,-1,1
970,1,1700,1,-5,-5,8800,0,1
971,1,0,1,22000,1,0,0,1
972,1,9000,1,13000,1,15500,16200,1
973,1,9000,1,13000,1,-5,-5,-5
974,1,9200,1,15100,1,16000,18600,1
975,1,8500,1,13000,1,13000,10920,1
976,1,2000,1,10000,1,10000,11000,1
977,1,5000,1,7900,1,9000,14500,1
978,1,-5,-5,1600,1,12000,0,-5
979,1,12000,1,13000,1,10000,-5,-5
980,1,3650,1,12000,1,8760,-5,-5
981,1,10000,1,12000,3,13000,0,1
982,1,1100,1,-5,-5,4500,17000,1
983,1,2760,1,11000,1,12000,13000,1
984,1,6000,1,10000,1,15000,12000,1
985,1,6500,1,10000,1,10000,14000,1
986,1,7200,1,15800,1,19500,22000,1
987,1,5900,1,13440,1,14000,-5,-5
988,1,-5,-5,3000,1,5600,-5,1
989,1,320,4,2004,1,2500,18000,2
990,1,9200,1,10000,1,-1,13000,1
991,1,7500,1,9500,1,8000,9000,1
992,1,1800,4,2000,4,12000,13600,1
993,1,-5,-5,-5,-5,-5,-5,-5
994,1,6000,1,-5,-5,-5,-5,-5
995,1,5200,1,-5,-5,-5,-5,-5
996,1,7000,1,15000,1,15000,16000,1
997,1,-5,-5,8900,1,11000,13000,1
998,1,7800,1,10000,1,-5,-5,-5
999,1,-5,-5,11000,1,14560,18000,1
1000,1,-5,-5,-5,-5,-5,-5,-5
1001,1,-5,-5,-5,-5,-5,-5,-5
1002,1,-5,-5,-5,-5,-5,-5,-5
1003,1,50,1,-5,-5,-5,-5,-5
1004,1,7100,1,9500,1,12000,22500,1
1005,1,6500,1,5000,1,22000,0,1
1006,1,11000,1,6760,1,-5,3800,3
1007,1,-5,-5,-5,-5,-5,-5,-5
1008,1,900,4,15000,1,0,6500,1
1009,1,7500,1,12000,1,14500,21000,1
1010,1,-5,-5,6000,1,4900,8415,1
1011,1,11000,1,13000,1,20000,30500,1
1012,1,2900,1,8000,1,5200,6000,1
1013,1,3500,1,10000,1,12000,14500,1
1014,1,1200,1,8320,1,9500,11000,1
1015,1,5500,1,5500,1,9000,13000,1
1016,1,3900,1,15000,1,-4,35000,1
1017,1,6000,1,9000,1,0,10000,1
1018,1,0,1,0,2,0,0,1
1019,1,4500,1,-5,-5,-5,-5,-5
1020,1,8500,1,14300,2,17420,21000,1
1021,1,5600,1,-4,1,9000,0,1
1022,1,12500,1,-5,-5,-5,-5,-5
1023,1,2534,4,6000,1,6000,10000,1
1024,1,-5,-5,8000,1,-5,-5,-5
